"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"07/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"158.321.476,08";"331.591.044,70";"408.303.674,06";"840.460,29";
"01/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"3.710.251.858,91";"285.598.924,53";"96.008.218,60";"260.167.823,14";
"03/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"29.334.432,77";"311.396.594,87";"323.154.408,05";"4.590.031,07";
"05/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"9.869.988,25";"340.137.876,45";"298.181.469,50";"2.588.806,08";
"06/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"8.678.594,14";"409.787.217,74";"369.892.569,75";"594.381,18";
"04/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"313.083.005,33";"314.669.151,38";"300.251.234,45";"4.329.834,15";
"08/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"- 567.887,44";"21.626.818,99";"425.842.365,00";"24.997.708,26";
"02/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"35.495.318,56";"302.792.418,50";"294.335.303,00";"10.264.924,25";
"02/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"9.463.461,58";"2.344.816,91";"2.129.466,43";"315.894,26";
"07/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"2.388.358,52";"3.230.363,96";"3.526.947,45";"1.222.662,71";
"03/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"1.886.444,56";"2.520.845,15";"2.662.875,76";"401.468,81";
"08/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"819.209,75";"1.216.317,51";"3.266.910,29";"34.320,00";
"04/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"2.082.774,28";"1.380.666,52";"1.390.591,36";"1.888.427,29";
"06/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"1.543.315,39";"3.073.139,46";"2.710.425,69";"747.610,95";
"01/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"13.128.596,67";"1.378.711,16";"398.602,56";"2.876.383,11";
"05/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"317.208,33";"1.790.319,23";"1.612.375,92";"2.025.612,11";
"02/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"- 34.634.594,31";"33.896.936,28";"35.240.546,59";"3.621.053,13";
"03/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"1.439.990,56";"39.402.952,89";"38.595.731,41";"422.944,11";
"07/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"120.147.619,91";"41.160.072,84";"48.934.828,22";"28.422,43";
"08/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"- 1.633.426,18";"4.084.570,57";"50.095.795,85";"51.127,28";
"01/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"360.083.726,37";"34.060.433,95";"11.105.278,89";"29.649.120,53";
"06/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"7.808.330,90";"47.636.709,36";"36.773.844,21";"3.710.377,11";
